SITE CODE= 9D2è„ìVëêésëÂñÓñÏí¨          ,32.8632,130.8990, 10,5.9,42476.0735532,  9.43, 16.03
 LAT.=   32.5874
 LON.=  130.4304
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 01 45 50
 NS,EW,UD
-0.100,-0.023,-0.010
-0.101,-0.040,0.020
-0.102,-0.039,0.007
-0.107,-0.021,-0.023
-0.120,0.005,-0.017
-0.138,0.029,0.037
-0.156,0.041,0.087
-0.160,0.036,0.072
-0.146,0.015,-0.003
-0.126,-0.010,-0.071
-0.121,-0.032,-0.078
-0.138,-0.043,-0.036
-0.160,-0.046,-0.003
-0.150,-0.050,-0.020
-0.088,-0.055,-0.073
0.007,-0.055,-0.112
0.093,-0.039,-0.089
0.138,-0.009,-0.001
0.144,0.015,0.100
0.133,0.016,0.146
0.120,-0.012,0.097
0.104,-0.058,-0.012
0.082,-0.095,-0.101
0.065,-0.107,-0.112
0.070,-0.095,-0.045
0.097,-0.076,0.049
0.123,-0.062,0.124
0.119,-0.056,0.150
0.077,-0.054,0.124
0.014,-0.052,0.064
-0.039,-0.043,0.003
-0.071,-0.021,-0.032
-0.081,0.012,-0.044
-0.073,0.048,-0.053
-0.055,0.062,-0.058
-0.034,0.041,-0.035
-0.023,-0.003,0.028
-0.025,-0.052,0.090
-0.027,-0.083,0.087
-0.015,-0.089,0.011
0.014,-0.072,-0.062
0.050,-0.035,-0.057
0.072,0.008,0.011
0.068,0.040,0.060
0.044,0.043,0.034
0.016,0.013,-0.029
-0.004,-0.029,-0.055
-0.018,-0.062,-0.016
-0.027,-0.077,0.039
-0.034,-0.084,0.057
-0.034,-0.090,0.037
-0.025,-0.089,0.012
-0.006,-0.066,0.001
0.018,-0.019,-0.007
0.044,0.035,-0.022
0.068,0.074,-0.025
0.086,0.086,0.009
0.095,0.074,0.081
0.095,0.052,0.159
0.091,0.035,0.190
0.085,0.032,0.143
0.075,0.048,0.029
0.057,0.079,-0.081
0.036,0.120,-0.108
0.022,0.158,-0.038
0.024,0.185,0.048
0.038,0.192,0.059
0.045,0.178,-0.001
0.029,0.146,-0.034
-0.006,0.108,0.028
-0.038,0.071,0.124
-0.047,0.040,0.127
-0.033,0.014,0.002
-0.015,-0.012,-0.140
-0.012,-0.036,-0.180
-0.023,-0.054,-0.122
-0.035,-0.060,-0.063
-0.035,-0.054,-0.054
-0.021,-0.044,-0.045
0.002,-0.041,0.021
0.030,-0.059,0.105
0.051,-0.098,0.111
0.057,-0.143,0.016
0.046,-0.173,-0.089
0.027,-0.177,-0.103
0.014,-0.158,-0.023
0.017,-0.128,0.066
0.033,-0.095,0.104
0.050,-0.061,0.096
0.057,-0.028,0.073
0.046,0.002,0.034
0.018,0.029,-0.037
-0.021,0.051,-0.123
-0.058,0.074,-0.163
-0.081,0.099,-0.115
-0.087,0.124,-0.005
-0.084,0.148,0.088
-0.084,0.173,0.107
-0.090,0.193,0.053
-0.095,0.202,-0.017
-0.087,0.195,-0.053
-0.065,0.175,-0.045
-0.039,0.155,-0.021
-0.021,0.138,-0.017
-0.018,0.123,-0.036
-0.024,0.102,-0.053
-0.025,0.080,-0.046
-0.009,0.069,-0.029
0.024,0.073,-0.042
0.069,0.084,-0.087
0.107,0.081,-0.109
0.127,0.053,-0.052
0.128,0.000,0.056
0.116,-0.073,0.107
0.098,-0.159,0.026
0.075,-0.239,-0.121
0.050,-0.289,-0.184
0.036,-0.289,-0.082
0.047,-0.241,0.095
0.086,-0.178,0.194
0.132,-0.133,0.155
0.157,-0.120,0.060
0.141,-0.127,0.007
0.088,-0.132,-0.000
0.018,-0.127,-0.034
-0.051,-0.114,-0.121
-0.101,-0.092,-0.203
-0.119,-0.059,-0.207
-0.104,-0.012,-0.130
-0.073,0.046,-0.034
-0.050,0.107,0.028
-0.052,0.160,0.051
-0.073,0.200,0.060
-0.095,0.224,0.071
-0.100,0.232,0.080
-0.089,0.224,0.072
-0.070,0.200,0.029
-0.054,0.165,-0.039
-0.042,0.128,-0.090
-0.035,0.104,-0.082
-0.026,0.105,-0.024
-0.010,0.122,0.017
0.012,0.134,-0.003
0.035,0.120,-0.059
0.043,0.075,-0.071
0.034,0.015,-0.014
0.021,-0.046,0.056
0.020,-0.105,0.078
0.036,-0.165,0.062
0.059,-0.219,0.067
0.074,-0.259,0.100
0.074,-0.280,0.100
0.066,-0.287,0.025
0.061,-0.285,-0.065
0.062,-0.269,-0.075
0.068,-0.229,0.013
0.069,-0.168,0.107
0.060,-0.105,0.118
0.042,-0.065,0.059
0.020,-0.055,0.020
0.001,-0.064,0.041
-0.010,-0.073,0.064
-0.015,-0.069,0.009
-0.015,-0.048,-0.107
-0.016,-0.017,-0.173
-0.023,0.016,-0.101
-0.039,0.048,0.065
-0.060,0.075,0.178
-0.077,0.102,0.138
-0.081,0.132,0.001
-0.068,0.164,-0.069
-0.040,0.190,0.009
-0.008,0.200,0.150
0.018,0.186,0.186
0.033,0.152,0.060
0.036,0.110,-0.108
0.039,0.077,-0.157
0.056,0.061,-0.061
0.093,0.059,0.066
0.143,0.059,0.113
0.187,0.048,0.077
0.214,0.024,0.027
0.225,-0.009,0.001
0.225,-0.043,-0.014
0.220,-0.075,-0.029
0.212,-0.106,-0.029
0.200,-0.136,-0.010
0.181,-0.157,0.003
0.141,-0.154,0.000
0.074,-0.114,0.014
-0.013,-0.044,0.071
-0.093,0.030,0.125
-0.132,0.082,0.086
-0.125,0.090,-0.064
-0.101,0.062,-0.223
-0.097,0.016,-0.254
-0.127,-0.028,-0.131
-0.173,-0.061,0.038
-0.204,-0.071,0.122
-0.204,-0.054,0.077
-0.182,-0.012,-0.032
-0.157,0.032,-0.111
-0.134,0.059,-0.109
-0.106,0.062,-0.046
-0.062,0.051,0.012
-0.009,0.043,0.017
0.034,0.043,-0.025
0.055,0.046,-0.062
0.057,0.045,-0.043
0.057,0.040,0.020
0.070,0.039,0.075
0.097,0.047,0.084
0.123,0.062,0.055
0.136,0.079,0.021
0.130,0.086,-0.006
0.108,0.070,-0.029
0.076,0.024,-0.041
0.046,-0.041,-0.025
0.032,-0.101,0.016
0.041,-0.126,0.057
0.066,-0.106,0.080
0.086,-0.060,0.095
0.080,-0.016,0.103
0.043,0.004,0.070
-0.015,0.007,-0.032
-0.077,0.009,-0.164
-0.126,0.026,-0.215
-0.158,0.055,-0.116
-0.173,0.082,0.068
-0.179,0.096,0.188
-0.183,0.094,0.153
-0.187,0.088,0.018
-0.187,0.086,-0.084
-0.177,0.083,-0.085
-0.161,0.068,-0.032
-0.146,0.037,-0.012
-0.145,0.003,-0.045
-0.154,-0.013,-0.078
-0.159,-0.001,-0.058
-0.146,0.030,-0.001
-0.111,0.060,0.040
-0.064,0.065,0.042
-0.021,0.041,0.029
0.010,0.003,0.037
0.029,-0.025,0.068
0.040,-0.032,0.097
0.046,-0.015,0.102
0.054,0.010,0.075
0.067,0.030,0.023
0.086,0.040,-0.038
0.103,0.041,-0.068
0.108,0.043,-0.029
0.098,0.050,0.067
0.082,0.055,0.135
0.073,0.048,0.088
0.080,0.026,-0.062
0.105,0.004,-0.194
0.143,0.005,-0.187
0.183,0.041,-0.047
0.207,0.096,0.099
0.195,0.140,0.139
0.139,0.149,0.075
0.048,0.120,0.002
-0.047,0.069,-0.008
-0.120,0.009,0.018
-0.156,-0.048,0.025
-0.162,-0.100,-0.002
-0.156,-0.134,-0.019
-0.153,-0.143,0.005
-0.155,-0.128,0.046
-0.150,-0.100,0.044
-0.129,-0.076,-0.017
-0.095,-0.061,-0.080
-0.064,-0.054,-0.075
-0.051,-0.048,-0.000
-0.064,-0.046,0.067
-0.097,-0.050,0.052
-0.132,-0.060,-0.034
-0.151,-0.075,-0.098
-0.136,-0.091,-0.057
-0.077,-0.098,0.061
0.019,-0.092,0.150
0.119,-0.068,0.131
0.178,-0.034,0.044
0.177,-0.007,-0.004
0.136,-0.002,0.026
0.097,-0.023,0.063
0.086,-0.056,0.013
0.089,-0.078,-0.112
0.079,-0.075,-0.187
0.056,-0.050,-0.107
0.050,-0.025,0.076
0.084,-0.023,0.201
0.148,-0.050,0.160
0.200,-0.091,0.011
0.210,-0.106,-0.090
0.179,-0.064,-0.053
0.131,0.037,0.067
0.083,0.167,0.141
0.036,0.281,0.093
-0.011,0.339,-0.029
-0.053,0.328,-0.121
-0.077,0.260,-0.116
-0.077,0.160,-0.045
-0.062,0.054,0.002
-0.047,-0.043,-0.031
-0.042,-0.121,-0.109
-0.050,-0.166,-0.131
-0.071,-0.159,-0.050
-0.101,-0.095,0.067
-0.130,0.000,0.103
-0.151,0.086,0.026
-0.156,0.125,-0.068
-0.140,0.103,-0.057
-0.100,0.035,0.060
-0.037,-0.061,0.156
0.028,-0.173,0.118
0.067,-0.282,-0.022
0.060,-0.369,-0.125
0.015,-0.403,-0.100
-0.027,-0.366,-0.000
-0.030,-0.267,0.049
0.011,-0.134,0.001
0.076,-0.004,-0.074
0.129,0.089,-0.072
0.155,0.141,0.021
0.163,0.152,0.123
0.164,0.134,0.135
0.157,0.094,0.054
0.129,0.029,-0.037
0.066,-0.048,-0.057
-0.024,-0.116,-0.009
-0.120,-0.134,0.025
-0.193,-0.083,-0.021
-0.231,0.024,-0.124
-0.238,0.147,-0.175
-0.221,0.239,-0.095
