SITE CODE= EEDìÏà¢ëhë∫íÜèº              ,33.0265,131.1910, 10,5.8,42476.1638079,  3.93,  6.67
 LAT.=   32.8803
 LON.=  131.0736
 SAMPLING RATE= 100Hz
 UNIT  = gal(cm/s/s)
INITIAL TIME = 2016 04 16 03 54 40
 NS,EW,UD
-0.017,-0.229,-0.076
-0.115,-0.152,-0.061
-0.177,-0.063,-0.021
-0.190,-0.000,0.020
-0.156,0.029,0.034
-0.082,0.046,0.011
0.011,0.065,-0.024
0.096,0.084,-0.029
0.140,0.093,0.014
0.111,0.099,0.083
0.008,0.111,0.129
-0.127,0.119,0.118
-0.230,0.095,0.053
-0.249,0.025,-0.033
-0.182,-0.061,-0.106
-0.067,-0.111,-0.136
0.057,-0.093,-0.102
0.169,-0.033,-0.004
0.250,0.012,0.119
0.271,0.018,0.200
0.201,0.005,0.178
0.047,0.007,0.059
-0.126,0.029,-0.086
-0.231,0.037,-0.171
-0.217,0.009,-0.165
-0.102,-0.043,-0.101
0.043,-0.083,-0.037
0.157,-0.086,0.004
0.209,-0.054,0.038
0.204,-0.007,0.084
0.154,0.043,0.128
0.062,0.091,0.134
-0.063,0.119,0.080
-0.189,0.099,-0.007
-0.263,0.019,-0.085
-0.237,-0.095,-0.124
-0.111,-0.184,-0.129
0.057,-0.194,-0.122
0.191,-0.118,-0.106
0.231,0.005,-0.063
0.174,0.118,0.024
0.061,0.182,0.134
-0.054,0.191,0.211
-0.137,0.150,0.202
-0.172,0.059,0.102
-0.165,-0.074,-0.041
-0.128,-0.216,-0.158
-0.070,-0.301,-0.200
0.001,-0.264,-0.158
0.080,-0.107,-0.056
0.153,0.096,0.067
0.200,0.249,0.173
0.205,0.295,0.223
0.162,0.256,0.188
0.077,0.191,0.069
-0.040,0.134,-0.088
-0.166,0.069,-0.207
-0.253,-0.039,-0.217
-0.244,-0.193,-0.106
-0.123,-0.337,0.056
0.047,-0.392,0.167
0.159,-0.311,0.155
0.133,-0.121,0.043
-0.000,0.094,-0.076
-0.131,0.251,-0.120
-0.149,0.316,-0.076
-0.034,0.302,0.004
0.138,0.239,0.058
0.268,0.135,0.065
0.295,-0.016,0.036
0.214,-0.183,-0.014
0.064,-0.293,-0.075
-0.099,-0.273,-0.125
-0.223,-0.132,-0.120
-0.269,0.037,-0.032
-0.242,0.136,0.108
-0.177,0.135,0.221
-0.109,0.080,0.235
-0.035,0.029,0.144
0.072,-0.008,0.003
0.223,-0.045,-0.121
0.368,-0.070,-0.202
0.421,-0.041,-0.231
0.319,0.050,-0.199
0.074,0.141,-0.087
-0.227,0.145,0.089
-0.467,0.044,0.254
-0.552,-0.082,0.305
-0.449,-0.146,0.196
-0.196,-0.133,-0.017
0.116,-0.111,-0.212
0.376,-0.127,-0.291
0.495,-0.144,-0.238
0.449,-0.080,-0.108
0.275,0.084,0.030
0.052,0.271,0.142
-0.148,0.363,0.212
-0.285,0.302,0.230
-0.340,0.129,0.180
-0.313,-0.068,0.066
-0.210,-0.223,-0.071
-0.056,-0.306,-0.169
0.103,-0.314,-0.187
0.213,-0.248,-0.137
0.243,-0.119,-0.069
0.205,0.043,-0.025
0.139,0.209,-0.003
0.075,0.339,0.027
0.009,0.398,0.091
-0.075,0.346,0.162
-0.173,0.172,0.193
-0.237,-0.073,0.147
-0.218,-0.295,0.042
-0.115,-0.405,-0.075
0.011,-0.378,-0.161
0.090,-0.257,-0.199
0.100,-0.102,-0.188
0.075,0.041,-0.121
0.061,0.161,0.000
0.065,0.242,0.148
0.065,0.273,0.256
0.047,0.250,0.257
0.027,0.186,0.139
0.021,0.087,-0.041
0.018,-0.038,-0.197
-0.013,-0.167,-0.271
-0.078,-0.245,-0.253
-0.137,-0.218,-0.164
-0.143,-0.097,-0.032
-0.087,0.037,0.117
-0.004,0.094,0.241
0.069,0.055,0.289
0.117,-0.017,0.232
0.139,-0.053,0.088
0.130,-0.042,-0.078
0.080,-0.028,-0.202
0.004,-0.042,-0.248
-0.057,-0.061,-0.217
-0.069,-0.040,-0.126
-0.037,0.034,0.005
0.000,0.126,0.144
0.007,0.186,0.239
-0.023,0.191,0.244
-0.078,0.144,0.152
-0.137,0.058,0.015
-0.168,-0.051,-0.091
-0.139,-0.158,-0.123
-0.030,-0.221,-0.096
0.125,-0.215,-0.062
0.254,-0.148,-0.065
0.287,-0.051,-0.093
0.223,0.054,-0.102
0.115,0.165,-0.055
0.016,0.268,0.045
-0.066,0.323,0.150
-0.154,0.278,0.202
-0.245,0.125,0.166
-0.296,-0.081,0.059
-0.253,-0.255,-0.067
-0.113,-0.335,-0.152
0.068,-0.312,-0.162
0.210,-0.218,-0.113
0.263,-0.086,-0.046
0.220,0.053,0.002
0.112,0.166,0.030
-0.011,0.211,0.062
-0.102,0.170,0.111
-0.130,0.069,0.161
-0.105,-0.031,0.165
-0.072,-0.091,0.093
-0.075,-0.110,-0.034
-0.108,-0.113,-0.150
-0.110,-0.103,-0.188
-0.029,-0.050,-0.134
0.121,0.064,-0.029
0.254,0.192,0.063
0.283,0.249,0.105
0.194,0.183,0.095
0.057,0.046,0.054
-0.048,-0.053,0.004
-0.096,-0.059,-0.037
-0.108,-0.013,-0.050
-0.111,-0.005,-0.022
-0.093,-0.065,0.026
-0.032,-0.132,0.058
0.061,-0.126,0.039
0.137,-0.048,-0.018
0.140,0.025,-0.075
0.059,0.020,-0.095
-0.058,-0.046,-0.076
-0.140,-0.094,-0.041
-0.142,-0.056,-0.006
-0.073,0.050,0.027
0.014,0.151,0.064
0.061,0.178,0.092
0.039,0.121,0.093
-0.034,0.019,0.064
-0.111,-0.074,0.021
-0.150,-0.128,-0.014
-0.130,-0.132,-0.037
-0.061,-0.096,-0.048
0.033,-0.037,-0.052
0.121,0.020,-0.046
0.167,0.068,-0.038
0.144,0.110,-0.038
0.062,0.150,-0.043
-0.027,0.183,-0.030
-0.062,0.185,0.016
