SITE CODE= EA0ïƒéqésîéòJí¨ÅiãåÅj        ,35.2733,133.3483,  9,7.3,36805.5627072,  3.62,  6.15
 LAT.=    0.0000
 LON.=    0.0000
 SAMPLING RATE= 100Hz 
 UNIT  = gal(cm/s/s) 
INITIAL TIME = 2000 10 06 13 30 10
 NS,EW,UD
-0.003,-0.017,-0.011
0.038,-0.027,-0.013
0.033,-0.011,-0.010
0.012,0.005,-0.019
0.007,0.005,-0.008
-0.018,-0.013,0.017
-0.051,-0.002,0.029
-0.038,0.034,0.011
0.004,0.048,-0.007
0.032,0.054,-0.007
0.036,0.031,-0.007
0.036,-0.013,-0.005
0.033,-0.026,-0.004
-0.004,-0.009,-0.002
-0.038,0.007,0.004
-0.020,-0.002,-0.002
0.010,-0.007,-0.009
0.016,0.020,-0.001
0.018,0.033,0.008
0.011,0.021,0.023
0.005,0.004,0.024
-0.003,-0.006,0.003
-0.028,-0.011,-0.007
-0.029,-0.026,-0.005
-0.003,-0.021,-0.009
0.023,-0.002,-0.009
0.038,0.005,-0.005
0.010,0.011,0.000
-0.021,0.004,0.007
-0.026,-0.006,0.001
-0.023,-0.005,-0.010
-0.018,-0.008,0.007
-0.014,-0.007,0.020
0.000,-0.004,0.014
0.024,-0.011,-0.006
0.022,-0.010,-0.024
0.002,-0.004,-0.011
-0.010,0.003,0.005
-0.009,0.013,0.004
0.006,0.016,0.002
0.026,0.015,0.004
0.034,0.014,-0.001
0.017,0.014,-0.013
-0.003,0.015,-0.014
-0.004,0.005,-0.003
0.005,-0.006,0.002
0.002,-0.005,-0.002
-0.013,0.006,0.000
-0.014,0.014,0.005
0.011,0.020,0.002
0.023,0.017,0.000
0.000,0.004,0.009
-0.018,-0.007,0.010
-0.032,-0.015,0.009
-0.026,-0.015,0.013
0.004,-0.007,0.009
0.018,0.015,0.011
0.014,0.038,0.002
-0.001,0.025,-0.015
0.010,-0.012,-0.005
0.029,-0.033,0.008
-0.006,-0.016,0.014
-0.029,0.015,0.005
-0.028,-0.002,-0.013
-0.033,-0.041,-0.009
0.008,-0.036,-0.009
0.032,0.011,-0.030
0.001,0.034,-0.030
-0.006,0.006,-0.004
0.004,-0.011,0.011
-0.002,0.005,0.012
-0.013,0.005,0.011
-0.019,-0.011,0.017
-0.007,-0.014,0.030
0.018,-0.001,0.012
0.036,0.027,-0.011
0.026,0.031,-0.012
0.000,0.002,-0.005
-0.006,-0.023,0.012
0.000,-0.021,0.012
-0.004,0.015,0.001
0.000,0.040,-0.005
0.021,0.021,-0.013
0.046,-0.004,-0.011
0.044,-0.019,-0.009
0.001,-0.021,-0.002
-0.017,-0.006,0.005
-0.008,-0.010,0.010
-0.013,-0.008,0.012
-0.016,0.017,0.002
-0.018,0.033,0.001
-0.003,0.024,0.005
0.021,-0.011,0.000
0.015,-0.030,-0.010
-0.019,-0.004,-0.016
-0.038,0.023,-0.018
-0.009,0.023,-0.003
0.010,0.011,0.020
0.000,0.000,0.012
0.016,-0.005,-0.009
0.029,-0.023,-0.015
0.015,-0.034,-0.004
-0.014,-0.004,0.005
-0.034,0.024,0.003
-0.029,0.026,0.008
-0.021,0.009,0.013
-0.005,-0.008,0.012
0.009,-0.002,0.011
0.004,0.006,0.001
0.002,0.006,-0.010
0.009,-0.004,-0.009
0.000,-0.005,-0.003
-0.006,0.009,0.012
-0.009,0.020,0.012
-0.016,0.042,0.000
-0.003,0.045,0.006
0.021,0.017,0.004
0.029,0.007,-0.016
0.008,0.001,-0.021
-0.012,-0.012,-0.008
-0.015,-0.016,0.004
